LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2018/11/17 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
400 S DAVIDSON ST,28204,35.220123,-80.841999,Central,476,2018/12/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","398.58,471.1"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/04/10 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
400 N TRYON ST,28202,35.229505,-80.839786,Central,476,2017/06/25 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Purse-Snatching,4,"""Theft-Related Offenses""",9th Street,"7th Street,9th Street","298.13,436.04"
200 EAST BV,28203,35.211751,-80.857709,Central,3,2021/05/24 00:00:00+00,Indoors,Retail,Convenience Store,Shoplifting,4,"""Theft-Related Offenses""",East/West,East/West,134.62
400 N COLLEGE ST,28202,35.228585,-80.838701,Central,476,2022/11/13 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2017/04/23 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,469.97
200 S COLLEGE ST,28202,35.225467,-80.843098,Central,476,2021/02/19 00:00:00+00,Other,Commercial Place,Other - Commercial Place,Embezzlement,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
400 E MOREHEAD ST,28202,35.218651,-80.848905,Providence,3,2018/10/23 00:00:00+00,Indoors,Commercial Place,Fitness Center,All Other Thefts,8,Theft and Vehicle Offenses,Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
2100 SOUTH BV,28203,35.207769,-80.860343,Central,3,2023/11/08 00:00:00+00,Indoors,Public/Non-Residential,Other - Public/Non-Residential,Simple Assault,0,"""Violent and Public Safety Offenses""",East/West,East/West,474.73
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2018/01/17 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,548.93
300 E 7TH ST,28202,35.228585,-80.838701,Central,476,2024/04/01 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
300 WEST BV,28203,35.213987,-80.861858,Central,388,2025/07/19 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,333.75
200 S CALDWELL ST,28202,35.222953,-80.840194,Central,476,2021/03/24 00:00:00+00,Outdoors,Open Area,Street/Highway,False Pretenses/Swindle,2,Fraud and Financial Crimes,7th Street,"CTC/Arena,3rd St/Convention,7th Street","251.76,270.8,511.51"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2019/08/17 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,158.91
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2020/11/15 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Simple Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2019/07/28 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,98.98
300 E 7TH ST,28204,35.228585,-80.838701,Central,476,2017/08/13 00:00:00+00,Indoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2020/06/26 00:00:00+00,Outdoors,Residential,Private Residence,Simple Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
100 E KINGSTON AV,28203,35.213515,-80.857685,Central,3,2024/09/20 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,220.85
300 DOGGETT ST,28203,35.211847,-80.863387,Central,388,2022/06/18 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Robbery,7,"""Coercive and Violent Offenses""",East/West,East/West,383.95
300 RENSSELAER AV,28203,35.214569,-80.854568,Providence,3,2022/07/16 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,154.13
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2021/10/04 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street","237.09,245.11"
1500 S TRYON ST,28203,35.216099,-80.856237,Central,339,2018/07/05 00:00:00+00,Outdoors,Open Area,Construction Site,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","92.07,532.91"
400 N COLLEGE ST,28202,35.228585,-80.838701,Central,476,2021/01/11 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
600 E 4TH ST,28202,35.2221,-80.839211,Central,476,2021/08/17 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","377.83,388.25"
1800 S TRYON ST,28203,35.213987,-80.861858,Central,388,2020/11/18 00:00:00+00,Indoors,Commercial Place,Financial Institution,Counterfeiting/Forgery,2,Fraud and Financial Crimes,East/West,East/West,333.75
100 W TREMONT AV,28203,35.210487,-80.860549,Central,338,2021/04/10 00:00:00+00,Other,Residential,Apartment/Duplex Private Res,False Pretenses/Swindle,2,Fraud and Financial Crimes,East/West,East/West,204.25
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2024/09/09 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Impersonation,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
700 N CALDWELL ST,28202,35.22815,-80.832776,Central,476,2025/09/07 00:00:00+00,Outdoors,Public/Non-Residential,School - Primary or Secondary,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,265.53
300 W BLAND ST,28203,35.219246,-80.857294,Central,339,2019/02/19 00:00:00+00,Outdoors,Open Area,Construction Site,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,420.85
300 S COLLEGE ST,28202,35.224709,-80.844206,Central,476,2017/10/26 00:00:00+00,Indoors,Commercial Place,Fitness Center,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2021/04/06 00:00:00+00,Outdoors,Commercial Place,Hotel/Motel,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,457.15
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2022/07/02 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2020/02/03 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
100 W BLAND ST,28203,35.218355,-80.856054,Central,339,2025/07/20 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,288.75
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/03/08 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 E BLAND ST,28203,35.217008,-80.854286,Central,339,2019/12/01 00:00:00+00,Other,Open Area,Taxicab,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,158.91
900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,2021/07/06 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Intimidation,7,"""Coercive and Violent Offenses""",9th Street,9th Street,417.26
300 S TRYON ST,28202,35.225651,-80.845306,Central,476,2025/02/21 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/08/04 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
400 E TRADE ST,28202,35.224569,-80.839996,Central,476,2025/08/23 00:00:00+00,Outdoors,Open Area,Other - Open Area,Aggravated Assault,0,"""Violent and Public Safety Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
200 S CHURCH ST,28202,35.22733,-80.845307,Central,476,2024/11/28 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Burglary/B&E,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","440.26,460.44"
200 S BREVARD ST,28202,35.223788,-80.841164,Central,476,2018/11/03 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Robbery,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","135.98,173.67"
600 N CALDWELL ST,28202,35.22815,-80.832776,Central,476,2019/04/27 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,265.53
900 S TRYON ST,28203,35.221776,-80.850362,Central,476,2020/01/28 00:00:00+00,Indoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,Brooklyn Village,314.35
400 S CHURCH ST,28202,35.225846,-80.847447,Central,476,2022/08/25 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2019/04/19 00:00:00+00,Other,Residential,Apartment/Duplex Private Res,False Pretenses/Swindle,2,Fraud and Financial Crimes,East/West,East/West,548.93
1100 SOUTH BV,28203,35.217768,-80.850391,Central,3,2018/01/23 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Theft From Building,8,Theft and Vehicle Offenses,Carson,Carson,130.69
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/07/27 00:00:00+00,Outdoors,Commercial Place,Light Rail/Trolley,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 S BREVARD ST,28202,35.224569,-80.839996,Central,476,2019/02/26 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
600 E 8TH ST,28202,35.225987,-80.833699,Central,476,2023/09/20 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Intimidation,7,"""Coercive and Violent Offenses""",9th Street,"7th Street,9th Street","419.75,428.46"
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2024/11/07 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,2022/11/28 00:00:00+00,Parking Deck,Commercial Place,Beauty Salon/Barber Shop,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,154.13
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2017/09/06 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Affray,7,"""Coercive and Violent Offenses""",CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
500 S TRYON ST,28202,35.224178,-80.847459,Central,476,2023/07/22 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,"Brooklyn Village,3rd St/Convention","312.78,405.25"
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2022/09/09 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2023/06/17 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,98.98
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2025/03/22 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
400 E MOREHEAD ST,28202,35.218651,-80.848905,Providence,3,2017/02/15 00:00:00+00,Indoors,Commercial Place,Fitness Center,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2024/10/16 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Weapon Law Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 N DAVIDSON ST,28202,35.224467,-80.835845,Central,476,2022/10/08 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,7th Street,365.85
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2024/02/11 00:00:00+00,Other,Residential,Apartment/Duplex Private Res,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,469.97
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2020/08/11 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Carson,Carson,341.54
100 E PARK AV,28203,35.214699,-80.857006,Central,3,2024/02/10 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",Bland,"Bland,East/West","201.02,363.88"
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2022/08/07 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,548.93
300 WESTWOOD AV,28212,35.217406,-80.860021,Central,388,2024/10/24 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,465.54
300 S TRYON ST,28202,35.225651,-80.845306,Central,476,2022/02/04 00:00:00+00,Outdoors,Commercial Place,Financial Institution,Public Accident,0,"""Violent and Public Safety Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
700 N TRYON ST,28202,35.23185,-80.836487,Central,476,2017/12/09 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,274.15
1300 S COLLEGE ST,28203,35.217864,-80.853307,Central,339,2019/11/10 00:00:00+00,Other,Commercial Place,Other - Commercial Place,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,Bland,Bland,288.32
400 E 6TH ST,28202,35.226161,-80.837768,Central,476,2023/09/29 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,CTC/Arena,9th Street","120.41,353.86,466.35"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2018/08/20 00:00:00+00,Outdoors,Open Area,Other - Open Area,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 S COLLEGE ST,28202,35.222488,-80.847424,Central,476,2018/11/20 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"Brooklyn Village,3rd St/Convention","129.49,416.18"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2024/12/31 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,98.98
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/05/11 00:00:00+00,Outdoors,Commercial Place,Light Rail/Trolley,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 EAST BV,28203,35.211751,-80.857709,Providence,3,2025/08/05 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,134.62
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/07/29 00:00:00+00,Parking Lot,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/09/15 00:00:00+00,Indoors,Commercial Place,Stadium/Arena,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1800 S TRYON ST,28203,35.213987,-80.861858,Central,388,2019/12/02 00:00:00+00,Indoors,Commercial Place,Financial Institution,Counterfeiting/Forgery,2,Fraud and Financial Crimes,East/West,East/West,333.75
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2024/08/30 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,98.98
1200 S COLLEGE ST,28203,35.218844,-80.852291,Central,339,2022/10/09 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,430.96
1500 S TRYON ST,28203,35.216099,-80.856237,Central,339,2024/02/17 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,"Bland,East/West","92.07,532.91"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2025/07/20 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Pocket-Picking,4,"""Theft-Related Offenses""",Bland,Bland,98.98
1100 SOUTH BV,28203,35.217768,-80.850391,Central,3,2020/01/01 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Carson,Carson,130.69
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2023/11/03 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street","335.87,363.89"
600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,2022/08/13 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,Brooklyn Village,Brooklyn Village,225.46
200 S DAVIDSON ST,28205,35.2221,-80.839211,Central,476,2025/10/26 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","377.83,388.25"
600 E TRADE ST,28201,35.222915,-80.83802,Central,476,2018/09/18 00:00:00+00,Indoors,Commercial Place,Office,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
1300 S TRYON ST,28203,35.218303,-80.853916,Central,339,2024/07/07 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,301.04
300 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2025/01/22 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,2023/08/25 00:00:00+00,Indoors,Retail,Drug Store,Burglary/B&E,7,"""Coercive and Violent Offenses""",Brooklyn Village,Brooklyn Village,225.46
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2021/06/28 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Missing Person,9,"""Fatal Incidents and Investigations""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/03/12 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2023/03/02 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
600 E BROOKLYN VILLAGE AV,28202,35.219052,-80.843542,Central,3,2024/12/26 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Intimidation,7,"""Coercive and Violent Offenses""",Brooklyn Village,Brooklyn Village,403.56
400 E STONEWALL ST,28202,35.220786,-80.845514,Central,476,2017/02/25 00:00:00+00,Indoors,Open Area,Construction Site,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"Brooklyn Village,3rd St/Convention","146.04,384.65"
500 N CHURCH ST,28202,35.231162,-80.839797,Central,476,2017/11/28 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,465.64
100 BREVARD CT,28202,35.225652,-80.846481,Central,476,2017/07/14 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,3rd St/Convention,384.97
600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,2023/11/16 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Brooklyn Village,Brooklyn Village,225.46
100 PHIFER AV,28202,35.231598,-80.836839,Central,476,2018/10/31 00:00:00+00,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,268.9
200 E BLAND ST,28203,35.217008,-80.854286,Central,339,2019/03/23 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,158.91
300 S DAVIDSON ST,28202,35.221303,-80.840288,Central,476,2022/09/20 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,359.3
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2024/06/01 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,98.98
300 E 4TH ST,28202,35.225467,-80.843098,Central,476,2020/03/02 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/09/22 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2023/10/01 00:00:00+00,Parking Lot,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
500 S COLLEGE ST,28202,35.223194,-80.846399,Central,476,2023/09/16 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"Brooklyn Village,3rd St/Convention","206.03,307.34"
100 N TRYON ST,28204,35.227199,-80.843083,Central,476,2023/09/18 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
600 S CALDWELL ST,28202,35.219373,-80.84663,Central,3,2022/01/02 00:00:00+00,Outdoors,Open Area,Street/Highway,Stolen Property Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,Brooklyn Village,225.46
200 N TRYON ST,28202,35.227994,-80.841946,Central,476,2025/06/26 00:00:00+00,Outdoors,Commercial Place,Financial Institution,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street","335.87,363.89"
800 N COLLEGE ST,28202,35.232139,-80.833753,Central,476,2017/07/06 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Overdose,9,"""Fatal Incidents and Investigations""",9th Street,9th Street,293.32
1600 CAMDEN RD,28203,35.214699,-80.857006,Central,388,2025/05/22 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2,Fraud and Financial Crimes,Bland,"Bland,East/West","201.02,363.88"
1000 SOUTH BV,28203,35.218651,-80.848905,Providence,3,2024/04/28 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
